fiscal_year,net_revenue_billion_usd,program_outlays_billion_usd,annual_deficit_reduction_billion_usd,methodology_version,last_updated
1,644.1,195.6,448.5,v2026.1,2026-07-11
2,718.1,198.5,519.6,v2026.1,2026-07-11
3,763.7,201.5,562.2,v2026.1,2026-07-11
4,794.8,204.4,590.4,v2026.1,2026-07-11
5,810.7,207.3,603.4,v2026.1,2026-07-11
6,827.0,210.3,616.7,v2026.1,2026-07-11
7,843.5,213.2,630.3,v2026.1,2026-07-11
8,860.4,216.1,644.2,v2026.1,2026-07-11
9,877.6,219.1,658.5,v2026.1,2026-07-11
10,895.1,222.0,673.1,v2026.1,2026-07-11
