state,name,uninsured_M,snap_M,student_loans_M,veterans_M,median_income_K,elderly_pct,renters_K,mfg_jobs_K,poverty_pct,births_K,hospitals,uncompensated_care_B,insurer_mlr_pct,methodology_version,last_updated
TX,Texas,5.0,3.6,3.8,1.6,67,13,3800,870,14,377,586,7.2,87,v2026.1,2026-07-11
FL,Florida,2.8,3.1,2.9,1.5,63,21,3200,340,13,210,210,3.8,86,v2026.1,2026-07-11
GA,Georgia,1.2,1.5,1.4,0.7,65,14,1500,370,15,127,153,1.8,88,v2026.1,2026-07-11
MS,Mississippi,0.3,0.7,0.4,0.2,49,16,370,140,19,37,98,0.6,89,v2026.1,2026-07-11
OK,Oklahoma,0.5,0.6,0.5,0.3,57,15,500,130,16,50,134,0.9,88,v2026.1,2026-07-11
SC,South Carolina,0.5,0.7,0.6,0.4,62,18,620,220,14,57,67,0.8,87,v2026.1,2026-07-11
NC,North Carolina,1.2,1.4,1.3,0.7,66,17,1450,450,14,119,123,1.9,86,v2026.1,2026-07-11
NV,Nevada,0.4,0.4,0.4,0.2,68,16,560,55,13,34,47,0.7,85,v2026.1,2026-07-11
AZ,Arizona,0.9,1.0,0.9,0.5,66,18,1050,170,14,80,89,1.4,87,v2026.1,2026-07-11
LA,Louisiana,0.4,0.9,0.6,0.3,54,15,570,140,18,59,115,0.8,88,v2026.1,2026-07-11
TN,Tennessee,0.7,1.3,0.9,0.5,62,17,870,360,14,82,120,1.2,87,v2026.1,2026-07-11
AL,Alabama,0.5,0.8,0.6,0.4,57,18,570,270,16,58,98,0.9,88,v2026.1,2026-07-11
NM,New Mexico,0.2,0.4,0.3,0.2,54,17,280,28,18,24,40,0.4,89,v2026.1,2026-07-11
AK,Alaska,0.1,0.1,0.1,0.08,82,11,100,14,10,10,22,0.2,86,v2026.1,2026-07-11
WY,Wyoming,0.07,0.05,0.08,0.05,68,16,65,12,11,7,28,0.1,87,v2026.1,2026-07-11
MO,Missouri,0.5,1.0,0.9,0.5,64,17,820,260,13,73,120,1.1,86,v2026.1,2026-07-11
IN,Indiana,0.5,0.8,0.9,0.4,65,16,800,530,13,83,118,1.0,86,v2026.1,2026-07-11
ID,Idaho,0.2,0.2,0.2,0.1,65,16,220,60,11,23,44,0.3,87,v2026.1,2026-07-11
MT,Montana,0.1,0.1,0.1,0.1,62,19,140,18,13,11,58,0.2,88,v2026.1,2026-07-11
AR,Arkansas,0.3,0.5,0.4,0.2,52,18,400,150,16,37,87,0.6,88,v2026.1,2026-07-11
UT,Utah,0.2,0.2,0.4,0.2,82,11,360,115,9,47,50,0.4,85,v2026.1,2026-07-11
CO,Colorado,0.4,0.5,0.8,0.4,84,15,780,155,10,63,90,0.8,85,v2026.1,2026-07-11
KS,Kansas,0.3,0.3,0.4,0.2,68,16,380,160,11,36,132,0.5,87,v2026.1,2026-07-11
NE,Nebraska,0.2,0.2,0.3,0.1,72,16,250,100,10,26,89,0.3,87,v2026.1,2026-07-11
SD,South Dakota,0.1,0.1,0.1,0.08,65,17,115,45,13,12,56,0.2,88,v2026.1,2026-07-11
ND,North Dakota,0.07,0.05,0.1,0.06,73,16,110,25,10,9,45,0.1,87,v2026.1,2026-07-11
