title,title_name,bill_number,primary_committees,methodology_version,last_updated
XXIV,Tax Code Reform & IRS Enforcement,1,Ways & Means; Armed Services; Finance,v2026.1,2026-07-11
0,Statutory Foundations & Core Definitions,1,Ways & Means; Armed Services; Finance,v2026.1,2026-07-11
XXI,Basic Minimum Plan (BMP) & Medicare Expansion,2,Energy & Commerce; Veterans' Affairs; Finance,v2026.1,2026-07-11
XIII,Pharmaceutical Parity & Biosecurity,2,Energy & Commerce; Veterans' Affairs; Finance,v2026.1,2026-07-11
XXV,Veterans Health Sovereignty & PACT Completion,2,Energy & Commerce; Veterans' Affairs; Finance,v2026.1,2026-07-11
II,SIRF & Sovereign Economic Reset,3,Banking; Judiciary; Education; HELP,v2026.1,2026-07-11
V,Child Prosperity Trust,3,Banking; Judiciary; Education; HELP,v2026.1,2026-07-11
XIV,Shelter Sovereignty & Housing Cap,3,Banking; Judiciary; Education; HELP,v2026.1,2026-07-11
XXII,PE Critical Systems Protection,3,Banking; Judiciary; Education; HELP,v2026.1,2026-07-11
XV,Student Loans & Knowledge Sovereignty,3,Banking; Judiciary; Education; HELP,v2026.1,2026-07-11
VII,Agricultural Sovereignty & Food Security,4,Agriculture; Energy & Commerce; Foreign Affairs; Transportation,v2026.1,2026-07-11
IX,Energy & Advanced Fission,4,Agriculture; Energy & Commerce; Foreign Affairs; Transportation,v2026.1,2026-07-11
XII,Manufacturing & Arbitrage Elimination,4,Agriculture; Energy & Commerce; Foreign Affairs; Transportation,v2026.1,2026-07-11
XXIII,Sovereign Trade & Allied Diplomacy,4,Agriculture; Energy & Commerce; Foreign Affairs; Transportation,v2026.1,2026-07-11
VIII,Mobility & Broadband Infrastructure,4,Agriculture; Energy & Commerce; Foreign Affairs; Transportation,v2026.1,2026-07-11
I,FMIA & Enforcement Architecture,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
III,AI Sovereignty & Data Rights,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
IV,Citizen Bounty Engine,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
X,Water Rights & Public Utilities,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XI,Environmental Remediation (A.B.R.N.),5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
VI,Pension & Capital Protection,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XVI & XVII,Financial Sovereignty & Capital Flight Controls,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XIX,ROI Benchmarks & Household Benefit Accounting,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XX,Bipartisan Safeguards & Pilot Gates,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XVIII,Due Process & Constitutional Safeguards,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXVI,Social Security Sovereignty Commission,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXXII,Dollar Sovereignty & Reserve Currency Defense,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXXIII,Sovereign Compute Authority,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXVII,Press Freedom & Editorial Independence,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXVIII,Worker Organizing Rights & Anti-Union-Busting,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXIX,Congressional Financial Integrity & Stock Trading Ban,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXX,NAFTA/USMCA Sovereignty Gap Closure & Trade Enforcement,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXXI,American Mutual Benefit Global Health Sovereignty,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXXIV,Structural Architecture Refinement & SIRF Sovereignty,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXXV,Sovereign Integrity & Executive Accountability,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
XXXVI,Foreign Influence Transparency & Adversary Capital Defense,5,Judiciary; Commerce; Environment & Public Works,v2026.1,2026-07-11
